Position_X,Position_Y,Position_Z,Unit,Category,Collection,TimePointID,TrackID,ID
356.55,245.51,13.6,um,Surface,Position,15,2000000005,586
356.86,247.01,11.93,um,Surface,Position,16,2000000005,630
357.75,249.26,10.81,um,Surface,Position,17,2000000005,674
359.35,252.38,10.83,um,Surface,Position,18,2000000005,719
358.8,253.99,11.53,um,Surface,Position,19,2000000005,764
357.01,255.08,13.15,um,Surface,Position,20,2000000005,812
354.69,257.7,14.96,um,Surface,Position,21,2000000005,865
352.73,259.76,16.93,um,Surface,Position,22,2000000005,912
351.92,259.6,18.34,um,Surface,Position,23,2000000005,964
349.89,259.48,19.65,um,Surface,Position,24,2000000005,1015
347.97,259.85,20.18,um,Surface,Position,25,2000000005,1067
347.75,259.08,21.25,um,Surface,Position,26,2000000005,1120
346.63,259.23,23.3,um,Surface,Position,27,2000000005,1173
344.2,259.95,25.26,um,Surface,Position,28,2000000005,1226
342.2,260.63,27.83,um,Surface,Position,29,2000000005,1281
341.11,261.43,27.89,um,Surface,Position,30,2000000005,1337
339.73,262.43,27.43,um,Surface,Position,31,2000000005,1394
338.87,263.14,25.26,um,Surface,Position,32,2000000005,1449
336.83,265.99,26.13,um,Surface,Position,33,2000000005,1508
334.77,268.77,26.71,um,Surface,Position,34,2000000005,1567
334.09,271,27.79,um,Surface,Position,35,2000000005,1624
72.05,285.01,22.31,um,Surface,Position,1,2000000006,6
72.08,285.32,22.78,um,Surface,Position,2,2000000006,42
71.19,285.79,23.01,um,Surface,Position,3,2000000006,79
71.4,286.5,23.7,um,Surface,Position,4,2000000006,117
71.46,286.84,24.37,um,Surface,Position,5,2000000006,159
71.41,287.16,25.09,um,Surface,Position,6,2000000006,201
72.11,287.59,24.9,um,Surface,Position,7,2000000006,245
72.52,288.06,24.6,um,Surface,Position,8,2000000006,285
72.91,288.63,23.01,um,Surface,Position,9,2000000006,324
77.19,284.11,28.12,um,Surface,Position,10,2000000006,370
78.1,284.45,26.02,um,Surface,Position,11,2000000006,411
78.33,285.26,24.34,um,Surface,Position,12,2000000006,452
78.39,286.06,23.51,um,Surface,Position,13,2000000006,496
